Precision (Folder1),Recall (Folder1),Precision (Folder2),Recall (Folder2),Precision Difference,Recall Difference
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0667,0.0714,0.0000,0.0000,0.0667,0.0714
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0667,0.0833,0.0000,0.0000,0.0667,0.0833
0.0870,0.1176,0.0000,0.0000,0.0870,0.1176
0.0556,0.0667,0.0000,0.0000,0.0556,0.0667
0.0952,0.0952,0.0000,0.0000,0.0952,0.0952
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,0.3333,0.0000,0.0000,0.2000,0.3333
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1304,0.0938,0.0000,0.0000,0.1304,0.0938
0.0435,0.1000,0.0000,0.0000,0.0435,0.1000
0.2308,0.3158,0.0000,0.0000,0.2308,0.3158
0.0625,0.0435,0.0000,0.0000,0.0625,0.0435
0.0625,0.0333,0.0000,0.0000,0.0625,0.0333
0.0556,0.0385,0.0000,0.0000,0.0556,0.0385
0.2857,0.2500,0.0000,0.0000,0.2857,0.2500
0.0909,0.0800,0.0000,0.0000,0.0909,0.0800
0.0556,0.1111,0.0000,0.0000,0.0556,0.1111
0.0526,0.0417,0.0000,0.0000,0.0526,0.0417
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1875,0.2143,0.0000,0.0000,0.1875,0.2143
0.1429,0.1538,0.0000,0.0000,0.1429,0.1538
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1111,0.1333,0.0000,0.0000,0.1111,0.1333
0.0588,0.0769,0.0000,0.0000,0.0588,0.0769
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0588,0.1111,0.0000,0.0000,0.0588,0.1111
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1765,0.2308,0.0000,0.0000,0.1765,0.2308
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2222,0.3636,0.0000,0.0000,0.2222,0.3636
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1333,0.0833,0.0000,0.0000,0.1333,0.0833
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0526,0.0303,0.0000,0.0000,0.0526,0.0303
0.1250,0.1538,0.0000,0.0000,0.1250,0.1538
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.1111,0.0000,0.0000,0.1000,0.1111
0.0625,0.0286,0.0000,0.0000,0.0625,0.0286
0.1053,0.2222,0.0000,0.0000,0.1053,0.2222
0.0476,0.1250,0.0000,0.0000,0.0476,0.1250
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0909,0.0714,0.0000,0.0000,0.0909,0.0714
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1250,0.2000,0.0000,0.0000,0.1250,0.2000
0.0556,0.0714,0.0000,0.0000,0.0556,0.0714
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0714,0.0909,0.0000,0.0000,0.0714,0.0909
0.0714,0.0476,0.0000,0.0000,0.0714,0.0476
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0588,0.0526,0.0000,0.0000,0.0588,0.0526
0.0800,0.0909,0.0000,0.0000,0.0800,0.0909
0.0435,0.0667,0.0000,0.0000,0.0435,0.0667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
